Id,Label,Station Id,Latitude,Longitude,Capacity,PhysicalConfiguration,PostalCode,PostalCodeArea,Name
Eastwood Rd / Woodbine Ave - SMART,Eastwood Rd / Woodbine Ave - SMART,7487,43.676216,-79.309395,15,SMARTMAPFRAME,M4E 2H8,M4E,Eastwood Rd / Woodbine Ave - SMART
Cherry St / Distillery Ln,Cherry St / Distillery Ln,7107,43.650279,-79.356832,15,REGULAR,NULL,NULL,Cherry St / Distillery Ln
Bay St / Scollard St,Bay St / Scollard St,7127,43.672152,-79.39018,15,REGULAR,M5R NULLA1,M5R,Bay St / Scollard St
25 Booth Ave,25 Booth Ave,7681,43.6544839,-79.341057,24,ELECTRICBIKESTATION,M4M 2M3,M4M,25 Booth Ave
Bayview Ave / Lawren Harris Square,Bayview Ave / Lawren Harris Square,7575,43.6548521,-79.3539768,15,REGULAR,M5A 1H7,M5A,Bayview Ave / Lawren Harris Square
Queen St W / Close Ave,Queen St W / Close Ave,7136,43.640634,-79.435841,23,REGULAR,NULL,NULL,Queen St W / Close Ave
Dundas St W / Crawford St,Dundas St W / Crawford St,7207,43.649722,-79.416944,23,REGULAR,NULL,NULL,Dundas St W / Crawford St
Lisgar St / Dundas St W - SMART,Lisgar St / Dundas St W - SMART,7368,43.6493472,-79.42668,8,SMARTMAPFRAME,NULL,NULL,Lisgar St / Dundas St SMART
Davenport Rd / Dovercourt Rd - SMART,Davenport Rd / Dovercourt Rd - SMART,7327,43.6741219,-79.4352208,16,SMARTMAPFRAME,M6H 2H1,M6H,Davenport Rd / Oakwood Rd - SMART
Davisville Ave / Pailton Cres,Davisville Ave / Pailton Cres,7539,43.69933,-79.39199,19,REGULARLITMAPFRAME,M4S 1E8,M4S,Davisville Ave / Pailton Cres
Wellington St W / Stafford St,Wellington St W / Stafford St,7216,43.6409957,-79.4096663,23,REGULAR,M5V 1G8,M5V,Wellington St W / Stafford St
Dufferin St / Bloor St,Dufferin St / Bloor St,7157,43.66083333,-79.43583333,22,REGULAR,NULL,NULL,Dufferin St / Bloor St
Colgate Ave / Carlaw Ave,Colgate Ave / Carlaw Ave,7705,43.6623658,-79.3413344,19,REGULAR,M4M 3L1,M4M,NULL
